source,reference,hypothesis
"The Government of Nepal may provide loans at a special concessional rate to any enterprise that has been established with the objective of providing employment or training to the persons with disabilities or that provides employment to the persons with disabilities in a number that exceeds the prescribed number, grant to such establishment tax exemption or concessions and exemptions while importing equipment required for the safety of the workplace or importing raw materials that are required for the safety of the persons with disabilities at workplace, providing raw materials or market management.","अपाङ्गता भएका व्यक्तिलाई रोजगारी वा तालिम दिने- उद्देश्यले स्थापना भएका वा तोकिएको भन्दा बढी सङ्ख्यामा अपाङ्गता भएका व्यक्तिलाई रोजगारी दिने प्रतिष्ठानलाई नेपाल सरकारले विशेष संहलियत दरमा क्रण उपलब्ध गराउन, प्रचलित कानून बमोजिम कर छुट दिन वा अपाङ्गता भएका व्यक्तिलाई कार्यस्थलमा सुरक्षाका लागि आवश्यक पर्ने उपकरण आयात गर्दा, कच्चा पदार्थ उपलब्ध गराउँदा वा बजार व्यवस्थापन कार्यका लागि छुट तथा सहुलियत प्रदान गर्न सक्नेछ ।","नेपाल सरकारले अपाङ्गता भएका व्यक्तिलाई रोजगारी वा तालीम प्रदान गर्ने उद्देश्यले स्थापना भएको वा तोकिए बमोजिमको सङ्ख्याभन्दा बढी गरी अपाङ्गता भएका व्यक्तिलाई रोजगारी प्रदान गर्ने कुनै पनि प्रतिष्ठानलाई विशेष सहुलियत दरमा कर्जा उपलब्ध गराई कार्यस्थलको सुरक्षाको लागि आवश्यक पर्ने उपकरण वा कार्यस्थलमा अपाङ्गता भएका व्यक्तिको सुरक्षाको लागि आवश्यक पर्ने कच्चा पदार्थ, कच्चा पदार्थ वा बजार व्यवस्थापन प्रदान गर्दा त्यस्तो प्रतिष्ठानलाई कर छुट वा सहुलियत र छुट दिन सक्नेछ।"
Money being restored does not set free the party offering.,रकम साँध्दानी भएको कारणबाट कुनै व्यक्तिको फौजदारी दायित्वबाट मुक्त पार्दैन ।,फिर्ता हुने रकमले पार्टीको प्रस्तावलाई स्वतन्त्र पार्दैन ।
"It shall be the duty of all concerned, to comply with the Code of Conducts framed pursuant to sub-sections",उपदफा तथा बमोजिम बनाइएको आचार संहिताको पालना गर्नु सम्बन्धित सबैको कर्तव्य हुनेछ,उपदफा बमोजिम बनेको आचार संहिताको पालना गर्नु सम्बन्धित सबैको कर्तव्य हुनेछ
"The victim employee, customer or anyone else on his or her behalf may file a complaint to the complaint hearing authority from the date of expiry of the time limit, if the complain made pursuant to Section 6 has not been finalized by the manager and, if any party is not satisfied with the decision of the Manager made pursuant to same Section, within seventy days of such a decision","कुनै व्यवस्थापकले दफा ६ बमोजिम गरेको गुनासो निर्धारित अवधिभित्र टुङ्गो नलगाएमा त्यस्तो अवधि समाप्त भएको मितिले र सो दफा बमोजिम व्यवस्थापकले गरेको निर्णय उपर कुनै पक्षले चित्त नबुझाएमा त्यस्तो निर्णय भएको मितिले सत्तरी दिनभित्र पीडित कर्मचारी, सेवाग्राही वा निजका तर्फबाट जोसुकै वा आरोपित व्यक्तिले उजूरी सुन्ने अधिकारी समक्ष उजूरी दिन सक्नेछ","दफा ६ बमोजिमको उजुरी व्यवस्थापकले अन्तिम रुप नदिएकोमा र सोही दफा बमोजिमको व्यवस्थापकले गरेको निर्णयबाट कुनै पक्ष सन्तुष्ट नभएकोमा त्यस्तो निर्णय भएको मितिले सत्तरी दिनभित्र पीडित कर्मचारी, ग्राहक वा निजको तर्फबाट कसैले उजुरी सुन्ने अधिकारी समक्ष उजुरी दिन सक्नेछ"
"Availability of service, facility and infrastructure: Minimum service, facility and infrastructure shall have to be available in the area of housing to be provided under this Act","सेवा, सुविधा र पूर्वाधारको उपलब्धताः यस ऐन बमोजिम प्रदान गरिने आवास रहेको क्षेत्रमा तोकिए बमोजिमको न्यूनतम सेवा, सुविधा र पूर्वाधारहरू उपलब्ध भएको हुन्‌ पर्नेछ","सेवा, सुविधा र पूर्वाधारको उपलब्धता : यस ऐन बमोजिम उपलब्ध गराइने आवास क्षेत्रमा न्यूनतम सेवा, सुविधा र पूर्वाधार उपलब्ध हुनु पर्नेछ"
"In cases where no legal practitioner has been appointed on behalf of a child accused of an offense, the concerned Juvenile Court shall make arrangements to make service available from a paid legal practitioner or any other interested legal practitioner",कसूरजन्य कार्यको आरोप लागेको बालबालिकाको तर्फबाट कानून व्यवसायी नियुक्त नभएको अवस्थामा सम्बन्धित बाल अदालतले वैतनिक कानून व्यवसायी वा अन्य कुनै इच्छुक कानून व्यवसायीको सेवा उपलब्ध गराउने व्यवस्था गर्नु पर्नेछ,कसूरजन्य कार्यको आरोप लागेका बालबालिकाको तर्फबाट कानून व्यवसायी नियुक्त नभएमा सम्बन्धित बाल अदालतले सशुल्क कानून व्यवसायी वा अन्य इच्छुक कानून व्यवसायीबाट सेवा उपलब्ध गराउने व्यवस्था मिलाउनेछ
"Prohibition on Transaction of Securities: The Director, Chief Executive, Auditor, Company Secretary of a bank or financial institution or a person directly involved in the management and account of a bank or financial institution shall not buy or sell, mortgage or cause to be mortgaged, cause to be bought or sold, accept or give in the form of a gift, transfer or transact the securities of the concerned bank or financial institution or of its subsidiary company in his/her name or in name of any member of his/her family or a firm, company or institution under the control of such person or to any other person until he/she holds such a position or until one year from the date of retirement from such position: Provided that nothing in this Sub-Section shall prevent from buying and selling securities among Directors to Directors or Directors to Promoters with the approval of the Rastra Bank while issuing bonus shares, rights shares or the shares allotted for employees or issuing new shares, or while implementing a directive of the Rastra Bank or while selling the entire share having in any bank or financial institution under own ownership by any Director or any corporate body having power to appoint Director or while merging or amalgamating banks or financial institutions in each other according to the provisions made in Chapter-10 or while acquiring all assets or liabilities of one bank or financial institution by another bank or financial institution or while carrying out purchase or sale of securities among promoter directors or directors to directors with the approval of the Rastra Bank in cases of emergence of any hurdle in the operation of the bank or financial institution or while carrying out purchase or sale or transfer of shares during the process of reformative or settlement process of a problematic bank","धितोपत्र कारोबार गर्नमा बन्देज : बैङ्क वा वित्तीय संस्थाको सञ्चालक, कार्यकारी प्रमुख, लेखापरीक्षक, कम्पनी सचिव वा बैङ्क वा वित्तीय संस्थाको व्यवस्थापन तथा लेखा सम्बन्धी कार्यमा प्रत्यक्ष रुपले संलग्न व्यक्तिले त्यस्तो पदमा बहाल रहँ दाका बखत वा त्यस्तो पदबाट अवकाश प्राप्त गरेको मितिले एक वर्षसम्म सम्बन्धित बैङ्क वा वित्तीय संस्था वा त्यसको सहायक कम्पनीको धितोपत्र आफ्नो वा आफ्नो परिवारको सदस्य वा अन्य कुनै पनि व्यक्ति वा त्यस्ता व्यक्तिको नियन्त्रणमा रहेको फर्म, कम्पनी वा संस्थाको नाममा वा अन्य व्यक्तिलाई खरिद बिक्री गर्न गराउन, गर्न दिन, धितोबन्धक राख्न, राख्न लगाउन वा दान बकस लिन, दिन, हस्तान्तरण गर्न वा लेनदेन गर्न हुँदैन, तर बोनस शेयर, हकप्रद शेयर, कर्मचारीलाई छुट्याइएको शेयर वा नयाँ शेयर जारी हुँदा वा राष्ट्र बैङ्कको निर्देशन कार्यान्वयन गर्दा वा कुनै सञ्चालक वा सञ्चालक नियुक्त गर्ने अधिकार पाएको संगठित संस्थाले कुनै बैङ्क वा वित्तीय संस्थामा आफ्नो नाममा रहेको सम्पूर्ण शेयर बिक्री गर्दा वा परिच्छेद-१० बमोजिम बैङ्क वा वित्तीय संस्था एक आपसमा गाभ्दा गाभिँदा वा एउटा बैङ्क वा वित्तीय संस्थाले अर्को बैङ्क वा वित्तीय संस्था प्राप्ति गर्दा वा बैङ्क वा वित्तीय संस्थाको सञ्चालनमा कुनै बाधा व्यवधान उत्पन्न भएमा राष्ट्र बैङ्कको स्वीकृति लिई संस्थापक सञ्चालक वा सञ्चालकबीच एक आपसमा धितोपत्र खरिद बिक्री गर्न वा समस्याग्रस्त बैङ्कको सुधारात्मक वा फरफारखको प्रक्रियामा हुने शेयरको खरिद बिक्री वा हस्तान्तरण गर्ने गराउने कामकारबाहीलाई यो उपदफाले बाधा पुन्याएको मानिने छैन","धितोपत्र कारोबार गर्न नहुने : बैङ्क वा वित्तीय संस्थाको सञ्चालक, कार्यकारी प्रमुख, लेखापरीक्षक, कम्पनी सचिव वा बैङ्क वा वित्तीय संस्थाको व्यवस्थापन तथा लेखामा प्रत्यक्ष संलग्न व्यक्तिले सम्बन्धित बैङ्क वा वित्तीय संस्था वा त्यसको सहायक कम्पनीको धितोपत्र आफ्नो नाममा वा निजको परिवारको कुनै सदस्यको नाममा वा त्यस्तो व्यक्तिको नियन्त्रणमा रहेको फर्म, कम्पनी वा संस्था वा"
Any other matter that is not resolved by the concerned ministry.,सम्बन्धित मन्त्रालयबाट समाधान हुन नसक्ने अन्य कुनै विषय ।,सम्बन्धित मन्त्रालयले समाधान नगरेको अन्य कुनै विषय ।
"Compensation: If the offence is held to have been committed under this Act, the adjudicating authority shall make an order to get appropriate compensation paid from the offender for the actual damage and loss caused to the affected party.","क्षतिपूर्ति : यस ऐन बमोजिम कस्र ठहर भएको अवस्थामा मर्का पर्न गएको पक्षलाई पुग्न गएको वास्तविक हानि, नोक्सानी बापत मुद्दा हेर्ने अधिकारीले कस्रदारबाट उपयुक्त क्षतिपूर्ति भराउने आदेश दिनेछ।",क्षतिपूर्ति : यस ऐन बमोजिम कसूर गरिएको मानिने भएमा न्यायिक अधिकारीले कसूर गर्ने व्यक्तिबाट प्रभावित पक्षलाई भएको वास्तविक नोक्सानी र नोक्सानीको लागि उपयुक्त क्षतिपूर्ति लिन आदेश दिनु पर्नेछ ।
"Upon receiving such correspondence in written form from the Commission pursuant to sub-section (1), the concerned individual, agency or official shall immediately implement the content of the correspondence if possible, or initiate its implementation if it requires time and inform the Commission of the same","उपदफा बमोजिम आयोगबाट लेखी आएमा सम्बन्धित व्यक्ति, निकाय वा पदाधिकारीले तत्काल कार्यान्वयन गर्न सकिने विषय भए कार्यान्वयन गरी र समय लाग्ने विषय भए कार्यान्वयन प्रारम्भ गरी त्यसको जानकारी आयोगलाई दिनुपर्नेछ","उपदफा बमोजिम आयोगबाट लेखी प्राप्त पत्राचार सम्बन्धित व्यक्ति, निकाय वा पदाधिकारीले सम्भव भएमा तत्काल पत्राचारको सामग्री कार्यान्वयन गर्नु पर्नेछ वा समय आवश्यक भएमा त्यसको कार्यान्वयन प्रारम्भ गर्नु पर्नेछ र सोको जानकारी आयोगलाई दिनु पर्नेछ"
