source,reference,hypothesis
"अपाङ्गता भएका व्यक्तिलाई रोजगारी वा तालिम दिने- उद्देश्यले स्थापना भएका वा तोकिएको भन्दा बढी सङ्ख्यामा अपाङ्गता भएका व्यक्तिलाई रोजगारी दिने प्रतिष्ठानलाई नेपाल सरकारले विशेष संहलियत दरमा क्रण उपलब्ध गराउन, प्रचलित कानून बमोजिम कर छुट दिन वा अपाङ्गता भएका व्यक्तिलाई कार्यस्थलमा सुरक्षाका लागि आवश्यक पर्ने उपकरण आयात गर्दा, कच्चा पदार्थ उपलब्ध गराउँदा वा बजार व्यवस्थापन कार्यका लागि छुट तथा सहुलियत प्रदान गर्न सक्नेछ ।","The Government of Nepal may provide loans at a special concessional rate to any enterprise that has been established with the objective of providing employment or training to the persons with disabilities or that provides employment to the persons with disabilities in a number that exceeds the prescribed number, grant to such establishment tax exemption or concessions and exemptions while importing equipment required for the safety of the workplace or importing raw materials that are required for the safety of the persons with disabilities at workplace, providing raw materials or market management.","To provide employment or training to the persons with disabilities- The Government of Nepal may provide loans at the special interest rate to the enterprises established with the objective of providing employment to the persons with disabilities in more than the number prescribed, grant tax exemption pursuant to the prevailing law or provide exemption and concession for the persons with disabilities while importing the equipment necessary for security at the workplace, while providing the raw materials or for market management work."
रकम साँध्दानी भएको कारणबाट कुनै व्यक्तिको फौजदारी दायित्वबाट मुक्त पार्दैन ।,Money being restored does not set free the party offering.,The amount does not absolve a person from the criminal liability on the ground that it is proved.
उपदफा तथा बमोजिम बनाइएको आचार संहिताको पालना गर्नु सम्बन्धित सबैको कर्तव्य हुनेछ,"It shall be the duty of all concerned, to comply with the Code of Conducts framed pursuant to sub-sections",It shall be the duty of all concerned to abide by the code of conduct framed pursuant to sub-sections and (3)
"कुनै व्यवस्थापकले दफा ६ बमोजिम गरेको गुनासो निर्धारित अवधिभित्र टुङ्गो नलगाएमा त्यस्तो अवधि समाप्त भएको मितिले र सो दफा बमोजिम व्यवस्थापकले गरेको निर्णय उपर कुनै पक्षले चित्त नबुझाएमा त्यस्तो निर्णय भएको मितिले सत्तरी दिनभित्र पीडित कर्मचारी, सेवाग्राही वा निजका तर्फबाट जोसुकै वा आरोपित व्यक्तिले उजूरी सुन्ने अधिकारी समक्ष उजूरी दिन सक्नेछ","The victim employee, customer or anyone else on his or her behalf may file a complaint to the complaint hearing authority from the date of expiry of the time limit, if the complain made pursuant to Section 6 has not been finalized by the manager and, if any party is not satisfied with the decision of the Manager made pursuant to same Section, within seventy days of such a decision","If any manager fails to settle the complaint made pursuant to Section 6 within the prescribed time limit, within seventy days from the date of expiry of such time limit and if any party is not satisfied with the decision made by the manager pursuant to that Section, the victim employee, customer or anyone else or the accused person on his or her behalf may make a complaint to the complaint hearing authority"
"सेवा, सुविधा र पूर्वाधारको उपलब्धताः यस ऐन बमोजिम प्रदान गरिने आवास रहेको क्षेत्रमा तोकिए बमोजिमको न्यूनतम सेवा, सुविधा र पूर्वाधारहरू उपलब्ध भएको हुन्‌ पर्नेछ","Availability of service, facility and infrastructure: Minimum service, facility and infrastructure shall have to be available in the area of housing to be provided under this Act","Availability of services, facilities and infrastructure: The minimum services, facilities and infrastructure shall have to be available in the area where the housing to be provided under this Act is situated, as prescribed"
कसूरजन्य कार्यको आरोप लागेको बालबालिकाको तर्फबाट कानून व्यवसायी नियुक्त नभएको अवस्थामा सम्बन्धित बाल अदालतले वैतनिक कानून व्यवसायी वा अन्य कुनै इच्छुक कानून व्यवसायीको सेवा उपलब्ध गराउने व्यवस्था गर्नु पर्नेछ,"In cases where no legal practitioner has been appointed on behalf of a child accused of an offense, the concerned Juvenile Court shall make arrangements to make service available from a paid legal practitioner or any other interested legal practitioner","If, on behalf of a child accused of an offence, a legal practitioner has not been appointed, the Juvenile Court concerned shall have to make provision for providing service to a veteran legal practitioner or any other interested legal practitioner"
"धितोपत्र कारोबार गर्नमा बन्देज : बैङ्क वा वित्तीय संस्थाको सञ्चालक, कार्यकारी प्रमुख, लेखापरीक्षक, कम्पनी सचिव वा बैङ्क वा वित्तीय संस्थाको व्यवस्थापन तथा लेखा सम्बन्धी कार्यमा प्रत्यक्ष रुपले संलग्न व्यक्तिले त्यस्तो पदमा बहाल रहँ दाका बखत वा त्यस्तो पदबाट अवकाश प्राप्त गरेको मितिले एक वर्षसम्म सम्बन्धित बैङ्क वा वित्तीय संस्था वा त्यसको सहायक कम्पनीको धितोपत्र आफ्नो वा आफ्नो परिवारको सदस्य वा अन्य कुनै पनि व्यक्ति वा त्यस्ता व्यक्तिको नियन्त्रणमा रहेको फर्म, कम्पनी वा संस्थाको नाममा वा अन्य व्यक्तिलाई खरिद बिक्री गर्न गराउन, गर्न दिन, धितोबन्धक राख्न, राख्न लगाउन वा दान बकस लिन, दिन, हस्तान्तरण गर्न वा लेनदेन गर्न हुँदैन, तर बोनस शेयर, हकप्रद शेयर, कर्मचारीलाई छुट्याइएको शेयर वा नयाँ शेयर जारी हुँदा वा राष्ट्र बैङ्कको निर्देशन कार्यान्वयन गर्दा वा कुनै सञ्चालक वा सञ्चालक नियुक्त गर्ने अधिकार पाएको संगठित संस्थाले कुनै बैङ्क वा वित्तीय संस्थामा आफ्नो नाममा रहेको सम्पूर्ण शेयर बिक्री गर्दा वा परिच्छेद-१० बमोजिम बैङ्क वा वित्तीय संस्था एक आपसमा गाभ्दा गाभिँदा वा एउटा बैङ्क वा वित्तीय संस्थाले अर्को बैङ्क वा वित्तीय संस्था प्राप्ति गर्दा वा बैङ्क वा वित्तीय संस्थाको सञ्चालनमा कुनै बाधा व्यवधान उत्पन्न भएमा राष्ट्र बैङ्कको स्वीकृति लिई संस्थापक सञ्चालक वा सञ्चालकबीच एक आपसमा धितोपत्र खरिद बिक्री गर्न वा समस्याग्रस्त बैङ्कको सुधारात्मक वा फरफारखको प्रक्रियामा हुने शेयरको खरिद बिक्री वा हस्तान्तरण गर्ने गराउने कामकारबाहीलाई यो उपदफाले बाधा पुन्याएको मानिने छैन","Prohibition on Transaction of Securities: The Director, Chief Executive, Auditor, Company Secretary of a bank or financial institution or a person directly involved in the management and account of a bank or financial institution shall not buy or sell, mortgage or cause to be mortgaged, cause to be bought or sold, accept or give in the form of a gift, transfer or transact the securities of the concerned bank or financial institution or of its subsidiary company in his/her name or in name of any member of his/her family or a firm, company or institution under the control of such person or to any other person until he/she holds such a position or until one year from the date of retirement from such position: Provided that nothing in this Sub-Section shall prevent from buying and selling securities among Directors to Directors or Directors to Promoters with the approval of the Rastra Bank while issuing bonus shares, rights shares or the shares allotted for employees or issuing new shares, or while implementing a directive of the Rastra Bank or while selling the entire share having in any bank or financial institution under own ownership by any Director or any corporate body having power to appoint Director or while merging or amalgamating banks or financial institutions in each other according to the provisions made in Chapter-10 or while acquiring all assets or liabilities of one bank or financial institution by another bank or financial institution or while carrying out purchase or sale of securities among promoter directors or directors to directors with the approval of the Rastra Bank in cases of emergence of any hurdle in the operation of the bank or financial institution or while carrying out purchase or sale or transfer of shares during the process of reformative or settlement process of a problematic bank","Limitation on Transaction of Securities: A Director, Chief Executive, Auditor, Company Secretary or a person directly involved in the management and accounts of a bank or financial institution may, for a term not exceeding one year from the date of being appointed to such a post or of being retired from such a post, inquire into the securities of the concerned bank or financial institution or its subsidiary company in the name of himself or herself or a member of his or her family or any other person or in the name of a firm, company or institution under the control of such a person"
सम्बन्धित मन्त्रालयबाट समाधान हुन नसक्ने अन्य कुनै विषय ।,Any other matter that is not resolved by the concerned ministry.,Any other matter which cannot be resolved by the concerned ministry.
"क्षतिपूर्ति : यस ऐन बमोजिम कस्र ठहर भएको अवस्थामा मर्का पर्न गएको पक्षलाई पुग्न गएको वास्तविक हानि, नोक्सानी बापत मुद्दा हेर्ने अधिकारीले कस्रदारबाट उपयुक्त क्षतिपूर्ति भराउने आदेश दिनेछ।","Compensation: If the offence is held to have been committed under this Act, the adjudicating authority shall make an order to get appropriate compensation paid from the offender for the actual damage and loss caused to the affected party.","Compensation: In the event of the commission of an offence under this Act, the official adjudicating the case for the actual harm and injury that has been caused to the victim shall issue an order to the offender for the payment of appropriate compensation."
"उपदफा बमोजिम आयोगबाट लेखी आएमा सम्बन्धित व्यक्ति, निकाय वा पदाधिकारीले तत्काल कार्यान्वयन गर्न सकिने विषय भए कार्यान्वयन गरी र समय लाग्ने विषय भए कार्यान्वयन प्रारम्भ गरी त्यसको जानकारी आयोगलाई दिनुपर्नेछ","Upon receiving such correspondence in written form from the Commission pursuant to sub-section (1), the concerned individual, agency or official shall immediately implement the content of the correspondence if possible, or initiate its implementation if it requires time and inform the Commission of the same","The concerned person, agency or official shall, if it receives a letter from the Commission pursuant to sub-section (1), inform the Commission about the matters that may be implemented immediately by the concerned person, agency or official and about the matters that may take time to be implemented by the concerned person, agency or official and about the matters that may take time to be implemented"
