English,Nepali,en_len,ne_len
"May obtain service of experts: The Commission may receive services from experts, pursuant to the federal law by stating the reasons thereof, if the human resource employed within the Commission is unable to perform any work that the Commission is required to perform as per the Constitution, this Act and prevailing federal law",विशेषज्ञको सेबा लिन सक्ने: आयोगले यो ऐन र प्रचलित सङ्घीय कानून बमोजिम सम्पादन गर्नु पर्ने कुनै काम आयोगमा कार्यरत जनशक्तिबाट सम्पादन हुन नसक्ने भएमा त्यसको कारण खुलाई प्रचलित सङ्घीय कानून बमोजिम विशेषज्ञको सेवा लिन सक्नेछ,53,35
The arrangements relating to the security of food and nutrition required in the food crisis zone shall be as prescribed.,खाद्य सङ्गटग्रस्त क्षेत्रमा आवश्यक पर्ने खाद्य तथा पोषण सुरक्षाको प्रबन्ध सम्बन्धी अन्य व्यवस्था तोकिए बमोजिम हुनेछ ।,20,17
"A person who incites another person, attempts or abets to commit any of the acts set forth in sub-sections (1), and shall be liable to the punishment of fine and imprisonment imposable on the principal offender","उपदफा (१), र मा उल्लिखित कार्य गर्न दुरूत्साहन गर्ने, उद्योग गर्ने वा मतियार हुने व्यक्तिलाई मुख्य कसूरदारलाई हुने जरिबाना र कैदको आधा सजाय हुनेछ",36,24
"While disbursing credits, a bank or financial institution shall obtain any movable or immovable property acceptable to it as a collateral security or an appropriate guarantee in manners as to safeguard the interests of its own and of its depositors",बैङ्क वा वित्तीय संस्थाले कर्जा दिँदा आफूलाई मान्य हुने चल अचल सम्पत्ति सुरक्षण लिई वा अन्य उचित जमानी लिई आफ्नो र निक्षेपकर्ताको हितको सुरक्षा हुने गरी कर्जा प्रवाह गर्नु पर्नेछ,40,30
"Notwithstanding anything contained in Sub-Section (1), if there is more workload in any District Court, the Chief Justice may, on the recommendation of the Judicial Council, designate the required number of additional District Judges",उपदफा मा जुनसुकै कुरा लेखिएको भए तापनि कुनै जिल्ला अदालतमा कार्यबोझ बढी भएको अवस्थामा प्रधान न्यायाधीशले न्याय परिषदको सिफारिसमा आवश्यक सङ्ख्यामा थप जिल्ला न्यायाधीश खटाउन सक्नेछ,34,26
Family planning means the plan to determine number of children or gap between pregnancies upon self interest by using or not using the contraceptives,“परिवार नियोजन भन्नाले कुनै गर्भनिरोधको साधन प्रयोग गरी वा नगरी आफूले चाहे अनुसारको सन्तानको सङ्ख्या वा गर्भान्तर निर्धारण गर्ने योजना सम्झनु पर्छ,24,22
"Out of the children in conflict with law, those who have been referred for alternative care under the diversion process",कानूनी विवादमा परेका बालबालिकामध्ये दिशान्तर प्रक्रिया अन्तर्गत वैकल्पिक हेरचाहको लागि सिफारिस भएका बालबालिका,20,13
The law is most worthy of approval when it is constant to reason.,विवेकमा आधारित कानून सर्वस्वीकार्य हुन्छ ।,13,6
"To lie Appeal: If any judgment, decision or final order made by judicial, quasi-judicial body or authority during the commencement of this Act was appealable before the Court of Appeal as per the law of enforced in that time, such appeal shall, after the commencement of this Act, lie in the High Court","पुनरावेदन लाग्ने : यो ऐन प्रारम्भ हुँदाका बखत न्यायिक, अर्धन्यायिक निकाय वा अधिकारीले गरेको फैसला, निर्णय वा अन्तिम आदेश उपर तत्काल प्रचलित कानून बमोजिम पुनरावेदन अदालतमा पुनरावेदन गर्न सकिने रहेछ भने यो ऐन प्रारम्भ भएपछि त्यस्तो पुनरावेदन सम्बन्धित उच्च अदालतमा गर्न सकिनेछ",53,42
"May obtain service of experts: The Commission may receive services from experts, pursuant to the federal law by stating the reasons thereof, if the human resource employed within the Commission is unable to perform any work that the Commission is required to perform as per the Constitution and this Act",छि विशेषज्ञको सेवा लिन सक्ने: आयोगले संविधान र यस ऐन बमोजिम सम्पादन गर्नु पर्ने कुनै काम आयोगमा कार्यरत जनशक्तिबाट सम्पादन हुन नसक्ने भएमा त्यसको कारण खुलाई प्रचलित सङ्घीय कानून बमोजिम सम्बन्धित विशेषज्ञ वा विशिष्टीकृत निकायको सेवा लिन सक्नेछ,50,38
